topo_id,map_name,scale,extent,date_on_map,content_year,imprint_year,aerial_photo_year,photo_revision_year,field_check_year,edit_year,photo_inspection_year,survey_year,woodland_tint,scanner_resolution,datum,projection,west,south,east,north,in_tier1,size_bytes,rights,geotiff_url,metadata_url,sciencebase_url,source_id
CA_Alleghany_287897_1949_24000,Alleghany,24000,7.5 x 7.5 minute,1949,1949,1961,1946,,1949,,,,Y,600 PPI,NAD27,Polyconic,-120.875,39.375,-120.75,39.5,false,14136180,public_domain,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/CA/CA_Alleghany_287897_1949_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/CA/24000/CA_Alleghany_287897_1949_24000_geo.xml,https://www.sciencebase.gov/catalog/item/5a8a2893e4b00f54eb3c5711,5a8a2893e4b00f54eb3c5711
CA_Alleghany_287898_1949_24000,Alleghany,24000,7.5 x 7.5 minute,1949,1949,1965,1946,,1949,,,,Y,600 PPI,NAD27,Polyconic,-120.875,39.375,-120.75,39.5,false,13312458,public_domain,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/CA/CA_Alleghany_287898_1949_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/CA/24000/CA_Alleghany_287898_1949_24000_geo.xml,https://www.sciencebase.gov/catalog/item/5a8a2893e4b00f54eb3c5713,5a8a2893e4b00f54eb3c5713
CA_Alleghany_287901_1949_24000,Alleghany,24000,7.5 x 7.5 minute,1949,1949,1981,1946,,1949,,1973,,Y,600 PPI,NAD27,Polyconic,-120.875,39.375,-120.75,39.5,false,12664970,public_domain,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/CA/CA_Alleghany_287901_1949_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/CA/24000/CA_Alleghany_287901_1949_24000_geo.xml,https://www.sciencebase.gov/catalog/item/5a8a28a1e4b00f54eb3c582c,5a8a28a1e4b00f54eb3c582c
CA_Alleghany_302231_1949_24000,Alleghany,24000,7.5 x 7.5 minute,1949,1949,1965,1946,,1949,,,,N,600 PPI,NAD27,Polyconic,-120.875,39.375,-120.75,39.5,false,4890397,public_domain,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/CA/CA_Alleghany_302231_1949_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/CA/24000/CA_Alleghany_302231_1949_24000_geo.xml,https://www.sciencebase.gov/catalog/item/5a8a28a1e4b00f54eb3c5831,5a8a28a1e4b00f54eb3c5831
CA_Alleghany_465287_1949_24000,Alleghany,24000,7.5 x 7.5 minute,1949,1949,1981,1946,,1949,,1973,,Y,600 PPI,NAD27,Polyconic,-120.875,39.375,-120.75,39.5,false,12053688,public_domain,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/CA/CA_Alleghany_465287_1949_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/CA/24000/CA_Alleghany_465287_1949_24000_geo.xml,https://www.sciencebase.gov/catalog/item/5cb745e2e4b0c3b0065d7af1,5cb745e2e4b0c3b0065d7af1
CA_Alleghany_465288_1951_24000,Alleghany,24000,7.5 x 7.5 minute,1951,1951,,1946,,1949,,,,Y,600 PPI,NAD27,Polyconic,-120.875,39.375,-120.75,39.5,false,10078152,public_domain,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/CA/CA_Alleghany_465288_1951_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/CA/24000/CA_Alleghany_465288_1951_24000_geo.xml,https://www.sciencebase.gov/catalog/item/5cb745e2e4b0c3b0065d7af3,5cb745e2e4b0c3b0065d7af3
CA_Alleghany_287896_2000_24000,Alleghany,24000,7.5 x 7.5 minute,2000,2000,2003,1998,,,2000,,,Y,600 PPI,NAD27,Lambert Conformal Conic,-120.875,39.375,-120.75,39.5,false,14521258,public_domain,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/CA/CA_Alleghany_287896_2000_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/CA/24000/CA_Alleghany_287896_2000_24000_geo.xml,https://www.sciencebase.gov/catalog/item/5a8a2892e4b00f54eb3c570f,5a8a2892e4b00f54eb3c570f
CA_Auburn_100355_1953_24000,Auburn,24000,7.5 x 7.5 minute,1953,1981,1981,1978,1981,1953,1981,,,Y,600 PPI,NAD27,Polyconic,-121.125,38.875,-121.0,39.0,true,14530445,public_domain,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/CA/CA_Auburn_100355_1953_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/CA/24000/CA_Auburn_100355_1953_24000_geo.xml,https://www.sciencebase.gov/catalog/item/5a8a28fae4b00f54eb3c60fc,5a8a28fae4b00f54eb3c60fc
CA_Auburn_288100_1953_24000,Auburn,24000,7.5 x 7.5 minute,1953,1953,1961,1952,,1953,,,,Y,600 PPI,NAD27,Polyconic,-121.125,38.875,-121.0,39.0,true,12968136,public_domain,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/CA/CA_Auburn_288100_1953_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/CA/24000/CA_Auburn_288100_1953_24000_geo.xml,https://www.sciencebase.gov/catalog/item/5a8a28fae4b00f54eb3c6102,5a8a28fae4b00f54eb3c6102
CA_Auburn_288101_1953_24000,Auburn,24000,7.5 x 7.5 minute,1953,1953,1955,1952,,1953,,,,Y,600 PPI,NAD27,Polyconic,-121.125,38.875,-121.0,39.0,true,12532400,public_domain,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/CA/CA_Auburn_288101_1953_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/CA/24000/CA_Auburn_288101_1953_24000_geo.xml,https://www.sciencebase.gov/catalog/item/5a8a2904e4b00f54eb3c61ca,5a8a2904e4b00f54eb3c61ca
